Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
63,Sahara Center,Starbucks,34259-54260,06-5315823,LS,Alnahda,Alnahda,,,Sharjah,SH,AE,,"(25.2982196807861, 55.3715591430664)",25.298219680786133,55.371559143066406,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
64,Mega Mall,Starbucks,34252-54259,06-5744316,LS,"Near Spinneys Round Bord, 1st floor",Near Spinneys Round Bord,1st floor,,Sharjah,SH,AE,,"(25.3450508117676, 55.3978996276855)",25.345050811767578,55.397899627685547,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
65,American University of Sharjah,Starbucks,34217-27108,06-5585722,LS,"Airport Road, Universities Complex",Airport Road,Universities Complex,,Sharjah,SH,AE,,"(25.2977695465088, 55.4841499328613)",25.297769546508789,55.484149932861328,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
70,Uptown Mirdif,Starbucks,31338-103600,042888102,LS,Mirdif,Mirdif,,,Dubai,DU,AE,,"(25.2254199981689, 55.4255218505859)",25.225419998168945,55.425521850585938,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
71,Al Wahda Mall,Starbucks,31719-103601,024437197,LS,"11th Street, Ground Floor, Main Entrance",11th Street,"Ground Floor, Main Entrance",,Abu Dhabi,AZ,AE,,"(24.4713306427002, 54.3723411560059)",24.471330642700195,54.372341156005859,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
72,Sahara Tower,Starbucks,31853-109684,04 3316164,LS,"Ground Floor, Sheikh Zayed Road","Ground Floor, Sheikh Zayed Road",,,Dubai,DU,AE,,"(24.9245929718018, 54.9971771240234)",24.924592971801758,54.997177124023438,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
73,Atlantis,Starbucks,32741-141410,044261435,LS,"Dubai Palm Island, Located in Dolphin Bay",Dubai Palm Island,Located in Dolphin Bay,,Dubai,DU,AE,,"(25.1337795257568, 55.120189666748)",25.133779525756836,55.120189666748047,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
74,Shangri-La Souq,Starbucks,32767-131566,025581641,LS,"Shangri-La Souk, Um Al Nar","Shangri-La Souk, Um Al Nar",,,Abu Dhabi,AZ,AE,3167,"(24.419849395752, 54.5104713439941)",24.419849395751953,54.510471343994141,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
75,Qanat Al Qasba,Starbucks,1359-138434,06-5560318,LS,Al Taawun Road,Al Taawun Road,,,Sharjah,SH,AE,,"(25.3231391906738, 55.3783302307129)",25.323139190673828,55.378330230712891,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
76,Camellia Flowers,Starbucks,1935-141406,02-6355542,LS,"Khalidiya Area Khalidiya street, Behind Union Bank and Finance House",Khalidiya Area Khalidiya street,Behind Union Bank and Finance House,,Abu Dhabi,AZ,AE,,"(24.4686908721924, 54.3382415771484)",24.468690872192383,54.338241577148438,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
80,Al Hamra Mall,Starbucks,1911-138604,07-2434772,LS,Umm-Al Qawain Ajman & Sharjah hwy,Umm-Al Qawain Ajman & Sharjah hwy,,,Ras Al Khaimah,RK,AE,,"(25.6822834014893, 55.7816886901855)",25.682283401489258,55.781688690185547,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
82,Bawadi Mall,Starbucks,1926-141411,037840012,LS,Maziad road after Hilton roundabout,Maziad road after Hilton roundabout,,,Al Ain,AZ,AE,,"(24.1593208312988, 55.8054885864258)",24.159320831298828,55.805488586425781,Arabian Standard Time,240,GMT+04:00 Asia/Muscat,12/08/2013 05:41:59 PM
83,Twin Towers 13th Street,Starbucks,1897-120044,026430239,LS,"3th street Abudhabi(Al Najda Street), beside Al Masood Nissan Show room",3th street Abudhabi(Al Najda Street),beside Al Masood Nissan Show room,,Abu Dhabi,AZ,AE,,"(23.8500480651855, 55.5276184082031)",23.850048065185547,55.527618408203125,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
85,Burjuman Centre II,Starbucks,34320-74020,043516656,LS,Banks Street,Banks Street,,,Dubai,DU,AE,,"(25.2537403106689, 55.3034973144531)",25.253740310668945,55.303497314453125,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
86,Old Town Commercial Island,Starbucks,32144-123448,044200343,LS,"Burj Dubai Down Town, Level 3",Burj Dubai Down Town,Level 3,,Dubai,DU,AE,3167,"(25.1918640136719, 55.2774772644043)",25.191864013671875,55.2774772644043,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
88,Madina Jumeirah,Starbucks,34317-95971,043686188,LS,Jumeirah,Jumeirah,,,Dubai,DU,AE,,"(25.1314506530762, 55.1872482299805)",25.131450653076172,55.187248229980469,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
90,Khalidiya Strt (Abu'D),Starbucks,30781-99022,026670052,LS,Khalidiya St.,Khalidiya St.,,,Abu Dhabi,AZ,AE,,"(24.18798828125, 55.6879272460938)",24.18798828125,55.68792724609375,Arabian Standard Time,240,GMT+04:00 Asia/Muscat,12/08/2013 05:41:59 PM
92,Jimmy Mall,Starbucks,34332-97778,037627680,LS,"Baladia Road, opposite Passport Office",Baladia Road,opposite Passport Office,,Al Ain,AZ,AE,,"(24.2420997619629, 55.7267608642578)",24.242099761962891,55.726760864257812,Arabian Standard Time,240,GMT+04:00 Asia/Muscat,12/08/2013 05:41:59 PM
93,HCT Abu Dhabi Women's College Block,Starbucks,1579-122101,026426280,LS,"Najda Street, Higher Colleges of Technology",Najda Street,Higher Colleges of Technology,,Abu Dhabi,AZ,AE,3167,"(24.4879398345947, 54.3720207214355)",24.487939834594727,54.372020721435547,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
152,Malabia,Starbucks,1290-142064,4831-9937,LS,Malabia 1720,Malabia 1720,,,Buenos Aires,C,AR,C1414DMJ,"(-34.5898361206055, -58.425609588623)",-34.589836120605469,-58.425609588623047,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu,12/08/2013 05:41:59 PM
94,DBX - Dubai Airport Terminal 3 C201,Starbucks,1577-123446,042203661,LS,"Terminal 3,  Near Departure Gate 205, West Wing Food Court Area","Terminal 3,  Near Departure Gate 205",West Wing Food Court Area,,Dubai,DU,AE,2525,"(25.2525749206543, 55.3539924621582)",25.252574920654297,55.3539924621582,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
95,Gardens 3,Starbucks,34335-97976,043685991,LS,"Jebel Ali Gardens, Gardens III Tunisia Court",Jebel Ali Gardens,Gardens III Tunisia Court,,Dubai,DU,AE,,"(25.0406303405762, 55.1213111877441)",25.040630340576172,55.121311187744141,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
96,Gardens 2,Starbucks,34337-97975,043685986,LS,"Jebel Ali Gardens, Gardens II China Court",Jebel Ali Gardens,Gardens II China Court,,Dubai,DU,AE,,"(25.0462512969971, 55.1241073608398)",25.04625129699707,55.124107360839844,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
97,Gardens 1,Starbucks,34336-97974,043685403,LS,"Jebel Ali Gardens, Gardens I Persia Court",Jebel Ali Gardens,Gardens I Persia Court,,Dubai,DU,AE,,"(25.0438499450684, 55.1223106384277)",25.043849945068359,55.122310638427734,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
98,Knowledge Village,Starbucks,34346-97779,04-3616288,LS,"Block 18, Jumeirah Road, Beside Shape Wellness Spa","Block 18, Jumeirah Road",Beside Shape Wellness Spa,,Dubai,DU,AE,,"(25.1022624969482, 55.1624526977539)",25.102262496948242,55.162452697753906,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
100,Health Care City Dubai,Starbucks,30954-99024,043624858,LS,"Dubai Health Care City D Block, Ground Floor",Dubai Health Care City D Block,Ground Floor,,Dubai,DU,AE,,"(25.2310905456543, 55.3264694213867)",25.231090545654297,55.326469421386719,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
102,Emaar Town Center,Starbucks,31002-101076,043617373,LS,"Springs 1, Beside Spinneys Supermarket","Springs 1, Beside Spinneys Supermarket",,,Dubai,DU,AE,,"(25.0535469055176, 55.1719932556152)",25.053546905517578,55.171993255615234,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
104,Jumeirah Beach Residence 3 P24a,Starbucks,32571-107873,044355728,LS,"Jumeirah Beach Residence, Opposite right side Dubai Hilton Hotel",Jumeirah Beach Residence,Opposite right side Dubai Hilton Hotel,,Dubai,DU,AE,,"(25.0749397277832, 55.1325187683105)",25.074939727783203,55.132518768310547,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
105,DBX - Dubai Airport Terminal 3 C207,Starbucks,3169-123447,042203990,LS,"Terminal 3 Departures, east wing duty free area",Terminal 3 Departures,east wing duty free area,,Dubai,DU,AE,2525,"(25.2525806427002, 55.3540802001953)",25.252580642700195,55.354080200195312,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
106,Arabian Centre,Starbucks,3173-122109,04 2845433,LS,"Plot 262-3104, Al Mizar First","Plot 262-3104, Al Mizar First",,,Dubai,DU,AE,3167,"(25.2566394805908, 55.4558486938477)",25.25663948059082,55.455848693847656,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
107,Oasis Centre,Starbucks,3183-143827,043307155,LS,"Shaikh Zayed Road, Ground Floor",Shaikh Zayed Road,Ground Floor,,Dubai,DU,AE,,"(25.1690406799316, 55.2423286437988)",25.169040679931641,55.242328643798828,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
108,Safeer Mall,Starbucks,3172-113584,07-2355921,LS,Umm-Al Qawain Ajman and Sharjah hwy,Umm-Al Qawain Ajman and Sharjah hwy,,,Ras Al Khaimah,RK,AE,,"(25.7480602264404, 55.9244499206543)",25.74806022644043,55.9244499206543,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
109,Jumeirah Beach Residence 4 GM09,Starbucks,32457-106838,044233770,LS,"Jumeirah Beach Residence, Beside Marlin Furniture & opposite Ritz",Jumeirah Beach Residence,Beside Marlin Furniture & opposite Ritz,,Dubai,DU,AE,,"(25.0807399749756, 55.1389694213867)",25.080739974975586,55.138969421386719,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
110,Jumeirah Beach Residence 6 GM10,Starbucks,32476-106835,044233862,LS,"Jumeirah Beach Residence, Opposite Sheraton Hotel Dubai",Jumeirah Beach Residence,Opposite Sheraton Hotel Dubai,,Dubai,DU,AE,,"(25.0718097686768, 55.1297492980957)",25.071809768676758,55.1297492980957,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
111,Tawam Hospital,Starbucks,32640-131563,037677581,LS,"Al Ain Abu Dhabi Rd, Khalifa Bin Zayed, Al Makam Area","Al Ain Abu Dhabi Rd, Khalifa Bin Zayed",Al Makam Area,,Al Ain,AZ,AE,3167,"(24.1926898956299, 55.6504516601563)",24.192689895629883,55.65045166015625,Arabian Standard Time,240,GMT+04:00 Asia/Muscat,12/08/2013 05:41:59 PM
114,Blue Tower A,Starbucks,32029-110804,026429255,LS,"Street No.4, Muroor Road, Ground Floor","Street No.4, Muroor Road",Ground Floor,,Abu Dhabi,AZ,AE,,"(24.2148609161377, 55.7374610900879)",24.214860916137695,55.737461090087891,Arabian Standard Time,240,GMT+04:00 Asia/Muscat,12/08/2013 05:41:59 PM
116,The Residence Tower 1,Starbucks,32250-107405,044200636,LS,Down Town Burj,Down Town Burj,,,Dubai,DU,AE,,"(25.1923904418945, 55.271900177002)",25.192390441894531,55.271900177001953,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
117,Khalidiya Mall,Starbucks,32239-100001,026354740,LS,"Street no. 26 of Khalidiya Area, Ground Floor, Shop No. A11",Street no. 26 of Khalidiya Area,"Ground Floor, Shop No. A11",,Abu Dhabi,AZ,AE,,"(24.4708385467529, 54.3524513244629)",24.47083854675293,54.352451324462891,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
118,Emaar Business Park,Starbucks,32117-116426,044224888,LS,"Dubai Marina after Mall of Emirates, 3rd Bldg,  Gr Floor, Near Main Entrance",Dubai Marina after Mall of Emirates,"3rd Bldg,  Gr Floor, Near Main Entrance",,Dubai,DU,AE,,"(25.0959091186523, 55.1690483093262)",25.095909118652344,55.169048309326172,SA Western Standard Time,-240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
120,Burj Dubai Business Park,Starbucks,32292-111724,044257991,LS,"Building 4, Ground Floor",Building 4,Ground Floor,,Dubai,DU,AE,,"(25.2029094696045, 55.2743797302246)",25.202909469604492,55.274379730224609,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
121,21st Century Tower,Starbucks,32269-114734,04-3250028,LS,"Sheikh Zayed Road, Ground Floor",Sheikh Zayed Road,Ground Floor,,Dubai,DU,AE,,"(25.2111129760742, 55.2752227783203)",25.211112976074219,55.275222778320312,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
123,Al Ghadeer Tower,Starbucks,32328-123449,04-3295676,LS,"Shaikh Zayed Road (In front of DIFC), Ground Floor",Shaikh Zayed Road (In front of DIFC),Ground Floor,,Dubai,DU,AE,58301,"(25.215539932251, 55.2789001464844)",25.215539932250977,55.278900146484375,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
124,Old Town Amenity Building,Starbucks,32329-111864,044309436,LS,Burj Dubai,Burj Dubai,,,Dubai,DU,AE,,"(25.1924304962158, 55.2783966064453)",25.19243049621582,55.278396606445312,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
125,JBR 1 Rimal Plaza,Starbucks,32523-106836,044355751,LS,"Jumeirah Beach Residence, Opposite of Dubai Hilton Hotel",Jumeirah Beach Residence,Opposite of Dubai Hilton Hotel,,Dubai,DU,AE,,"(25.0749397277832, 55.1326103210449)",25.074939727783203,55.132610321044922,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
126,Movenpick,Starbucks,32714-122107,043374720,LS,"Street 19, Oud  Metha Area, Ground Floor","Street 19, Oud  Metha Area",Ground Floor,,Dubai,DU,AE,121223,"(25.2344703674316, 55.3114700317383)",25.234470367431641,55.311470031738281,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
134,Dubai Mall LG 118,Starbucks,1801-136467,043398434,LS,"Burj Dubai Boulevard, Sheikh Zayed Rd, Shop LG 118","Burj Dubai Boulevard, Sheikh Zayed Rd",Shop LG 118,,Dubai,DU,AE,3167,"(25.1994724273682, 55.2753295898438)",25.199472427368164,55.27532958984375,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
135,Park Place Showmax,Starbucks,6137-116711,043428399,LS,"Jumeirah Beach Road, in front of Jumeirah Beach Park",Jumeirah Beach Road,in front of Jumeirah Beach Park,,Dubai,DU,AE,,"(25.1965999603271, 55.2366714477539)",25.196599960327148,55.236671447753906,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
136,Standard Chartered Building,Starbucks,32595-122105,026359275,LS,"Khalidiya St., Beside Union Cooperative Society",Khalidiya St.,Beside Union Cooperative Society,,Abu Dhabi,AZ,AE,3167,"(24.1879901885986, 55.687931060791)",24.187990188598633,55.687931060791016,Arabian Standard Time,240,GMT+04:00 Asia/Muscat,12/08/2013 05:41:59 PM
138,JBR 2 Rimal Marina,Starbucks,32425-106837,044233751,LS,"Jumeirah Beach Residence, front right corner of the Marina Tower",Jumeirah Beach Residence,front right corner of the Marina Tower,,Dubai,DU,AE,,"(25.0807399749756, 55.1390609741211)",25.080739974975586,55.139060974121094,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
139,Dubai Marina Mall,Starbucks,1968-136466,044342660,LS,"Sheikh Zayed Road, Jumeirah Beach Residence Area",Sheikh Zayed Road,Jumeirah Beach Residence Area,,Dubai,DU,AE,3167,"(25.0755996704102, 55.1410484313965)",25.075599670410156,55.141048431396484,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
140,Abu Dhabi University - Women's,Starbucks,3178-141407,025860492,LS,"Road Al ain Abu Dhabi Road number 22, Women side",Road Al ain Abu Dhabi Road number 22,Women side,,Abu Dhabi,AZ,AE,,"(24.3504238128662, 54.5699806213379)",24.350423812866211,54.569980621337891,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
141,Abu Dhabi University - Men's,Starbucks,3886-141408,024433824,LS,"Muroor Street, Abu Dhabi Mall","Muroor Street, Abu Dhabi Mall",,,Abu Dhabi,AZ,AE,,"(24.4629192352295, 54.3517875671387)",24.462919235229492,54.351787567138672,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
145,Deira City Center 4,Starbucks,31199-104340,04-2948442,LS,Deira,Deira,,,Dubai,DU,AE,,"(25.2532596588135, 55.3326187133789)",25.253259658813477,55.332618713378906,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
160,Mariahilfer Strasse,Starbucks,40204-76700,43 1 3366332505,CO,Mariahilfer Strasse 23-25,Mariahilfer Strasse 23-25,,,Wien,9,AT,1060,"(48.2007064819336, 16.3586349487305)",48.200706481933594,16.358634948730469,W. Europe Standard Time,60,GMT+1:00 Europe/Vienna,12/08/2013 05:41:59 PM
161,Neubaugasse,Starbucks,40206-77760,43 1 3366332507,CO,Neubaugasse 4,Neubaugasse 4,,,Wien,9,AT,1070,"(48.1986541748047, 16.3500518798828)",48.198654174804688,16.350051879882812,W. Europe Standard Time,60,GMT+1:00 Europe/Vienna,12/08/2013 05:41:59 PM
147,Panamericano,Starbucks,4034-136938,5777-9501,LS,Melian Avenida 4602,Melian Avenida 4602,,,Buenos Aires,C,AR,C1430EZT,"(-34.5473480224609, -58.4859466552734)",-34.547348022460938,-58.485946655273438,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu,12/08/2013 05:41:59 PM
148,Abasto Shopping Center,Starbucks,1279-139527,4861-1730,LS,Corrientes Avenida 3247,Corrientes Avenida 3247,,,Buenos Aires,C,AR,C1193AAE,"(-34.6039123535156, -58.4109382629395)",-34.603912353515625,-58.410938262939453,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu,12/08/2013 05:41:59 PM
149,DOT Planta Baja,Starbucks,3525-142748,5777-9501,LS,Melian Avenida 4602,Melian Avenida 4602,,,Buenos Aires,C,AR,C1430EZT,"(-34.5473480224609, -58.4858589172363)",-34.547348022460938,-58.485858917236328,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu,12/08/2013 05:41:59 PM
